0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
LABORATÓRIO DE ENSAIOS TECNOLÓGICOS EM TRANSPORTES - TÉRREO - Capacidade: XX - SALA T02,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,,,,,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,,,,,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,,,Laboratório de Geotecnia,,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,,,Laboratório de Geotecnia,,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,Laboratório de Geotecnia - TA,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,Laboratório de Geotecnia - TA,,,,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,Laboratório de Geotecnia - TB,,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,Laboratório de Geotecnia - TB,,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATÓRIO DE INTELIGÊNCIA E INOVAÇÃO EM TRANSPORTES- 2o ANDAR - Capacidade: ???  - SALA 203,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,,,,,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,,,,,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,,,,,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,,,,,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,,,,,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,,,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,,,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATÓRIO DE DESENVOLVIMENTO EM TRANSPORTES- 2o ANDAR - Capacidade: ??? - SALA 204,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Tópicos especiais 2 - macrossimulação,,,,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Tópicos especiais 2 - macrossimulação,,,,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Tópicos especiais 2 - macrossimulação,,,,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Tópicos especiais 2 - macrossimulação,,,,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,Laboratório de tecnologia aquaviária,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,Laboratório de tecnologia aquaviária,,,,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,,,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,,,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATÓRIO DE PROJETOS EM TRANSPORTES- 2o ANDAR - Capacidade: ??? - SALA 205,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,,,,,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,,,,,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,,,,,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,,,,,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,,,,,,,,,,,,,,,,,,,,,,,,
