0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
TÉRREO - Capacidade: 99 lugares - SALA MINI-AUDITÓRIO,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,,,,,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,,,,,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,,,,,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,,,,,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,,,,,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,,,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,,,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MINI-AUDITÓRIO - 1o ANDAR - Capacidade: 99 lugares - SALA 102,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,GEOLOGIA  COLEGIADO,,,,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,GEOLOGIA  COLEGIADO,,,,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,GEOLOGIA  COLEGIADO,,,,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,GEOLOGIA  COLEGIADO,,,,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,GEOLOGIA  COLEGIADO,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,,,,,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,,,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,,,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MINI-AUDITÓRIO - 2o ANDAR - Capacidade: 40 lugares - SALA 202,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,,,PPGEP - Seminários,,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,,,PPGEP - Seminários,,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,,,Gestão de Projetos,,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,,,Gestão de Projetos,,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,,INTRODUÇÃO À TRIBOLOGIA,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,,INTRODUÇÃO À TRIBOLOGIA,,,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,,INTRODUÇÃO À TRIBOLOGIA,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,,INTRODUÇÃO À TRIBOLOGIA,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MINI-AUDITÓRIO - 3o ANDAR - Capacidade: 40 lugares - SALA  302,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,,,,PPGGEA (Profa. Débora)-Somente dia 08/05,,,,,,,,,,,,,,,,,,,,,
08h50-09h40,,,,PPGGEA (Profa. Débora)-Somente dia 08/05,,,,,,,,,,,,,,,,,,,,,
10h00-10h50,,,,PPGGEA (Profa. Débora)-Somente dia 08/05,,,,,,,,,,,,,,,,,,,,,
10h50-11h40,,,,PPGGEA (Profa. Débora)-Somente dia 08/05,,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,Processos Sedimentares,PPGGEA (Profa. Débora)-Somente dia 06/05,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,Processos Sedimentares,PPGGEA (Profa. Débora)-Somente dia 06/05,,,,,,,,,,,,,,,,,,,,,,,
15h00-16h00,Petrologia Ígnea,PPGGEA (Profa. Débora)-Somente dia 06/05,,,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,Petrologia Ígnea,PPGGEA (Profa. Débora)-Somente dia 06/05,,,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MINI-AUDITÓRIO - 4o ANDAR - Capacidade: 40 lugares - SALA 402,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,PPGGEA-AMB CÁRSTICOS - 16/06 e 23/06,PPGGEA-AMB CÁRSTICOS - 17/06,,,PPGGEA-AGROGEOLOGIA-20/06,,,,,,,,,,,,,,,,,,,,
08h50-09h40,PPGGEA-AMB CÁRSTICOS - 16/06 e 23/06,PPGGEA-AMB CÁRSTICOS - 17/06,,,PPGGEA-AGROGEOLOGIA-20/06,,,,,,,,,,,,,,,,,,,,
10h00-10h50,PPGGEA-AMB CÁRSTICOS - 16/06 e 23/06,PPGGEA-AMB CÁRSTICOS - 17/06,,,PPGGEA-AGROGEOLOGIA-20/06,,,,,,,,,,,,,,,,,,,,
10h50-11h40,PPGGEA-AMB CÁRSTICOS - 16/06 e 23/06,PPGGEA-AMB CÁRSTICOS - 17/06,,,PPGGEA-AGROGEOLOGIA-20/06,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,,,,,,,,,,,,,,,,,,,,,,,,
14h00-14h50,PPGGEA-AMB CÁRSTICOS - 16/05 e 16/06 ,PPGGEA-AMB CÁRSTICOS - 17/06,,,PPGGEA-AGROGEOLOGIA-20/06,,,,,,,,,,,,,,,,,,,,
