0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
SALA DE AULA - 1o ANDAR - Capacidade: 60 lugares - SALA 108 ,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Geometria Analítica,Fenômenos de Transportes 1 (reoferta),Geometria Analítica,,Análise de investimento em transportes,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Geometria Analítica,Fenômenos de Transportes 1 (reoferta),Geometria Analítica,,Análise de investimento em transportes,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Álgebra Linear,Fenômenos de Transportes 1 (reoferta),Álgebra Linear,,Análise de investimento em transportes,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Álgebra Linear,Fenômenos de Transportes 1 (reoferta),Álgebra Linear,,Análise de investimento em transportes,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,Cálculo 2A - TA,Física I,Cálculo 2A - TA,,Cálculo 2A - TA,,,,,,,,,,,,,,,,,,,,
14h00-14h50,Cálculo 2A - TA,Física I,Cálculo 2A - TA,,Cálculo 2A - TA,,,,,,,,,,,,,,,,,,,,
15h00-16h00,Cálculo 2A - TB,Física I,Cálculo 2A - TB,,Cálculo 2A - TB,,,,,,,,,,,,,,,,,,,,
16h00-16h50,Cálculo 2A - TB,Física I,Cálculo 2A - TB,,Cálculo 2A - TB,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SALA DE AULA - 2o ANDAR - Capacidade: 60 lugares -  SALA 208,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,EDO,Hidrogeologia,EDO,,Gestão Estratégica,,,,,,,,,,,,,,,,,,,,
08h50-09h40,EDO,Hidrogeologia,EDO,,Gestão Estratégica,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Cálculo Numérico,Hidrogeologia,Cálculo Numérico,,Gestão Estratégica,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Cálculo Numérico,Hidrogeologia,Cálculo Numérico,,Gestão Estratégica,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,Cálculo 1A - TA,,Cálculo 1A - TA,Teoria de Análise de Sistemas de Transportes,Cálculo 1A - TA,,,,,,,,,,,,,,,,,,,,
14h00-14h50,Cálculo 1A - TA,,Cálculo 1A - TA,Teoria de Análise de Sistemas de Transportes,Cálculo 1A - TA,,,,,,,,,,,,,,,,,,,,
15h00-16h00,Cálculo 1A - TB,,Cálculo 1A - TB,Transporte e Sociedade,Cálculo 1A - TB,,,,,,,,,,,,,,,,,,,,
16h00-16h50,Cálculo 1A - TB,,Cálculo 1A - TB,Transporte e Sociedade,Cálculo 1A - TB,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SALA DE AULA - 3o ANDAR - Capacidade: 40 lugares -  SALA 308,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Materiais Metálicos,Economia Industrial ,Materiais Metálicos,Teoria das Organizações,Geologia do Brasil,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Materiais Metálicos,Economia Industrial ,Materiais Metálicos,Teoria das Organizações,Geologia do Brasil,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Materiais Cerâmicos,Economia Industrial ,Materiais Cerâmicos,Teoria das Organizações,Geologia do Brasil,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Materiais Cerâmicos,Economia Industrial ,Materiais Cerâmicos,Teoria das Organizações,Geologia do Brasil,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,Ciência dos Materiais 1,Fenômenos de Transportes 2,Ciência dos Materiais 1,Sistemas de Produção,Mecânica Aplicada,,,,,,,,,,,,,,,,,,,,
14h00-14h50,Ciência dos Materiais 1,Fenômenos de Transportes 2,Ciência dos Materiais 1,Sistemas de Produção,Mecânica Aplicada,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,Fenômenos de Transportes 2,Teoria e Técnica de Plan. Int. em Transporte,Sistemas de Produção,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,Fenômenos de Transportes 2,Teoria e Técnica de Plan. Int. em Transporte,Sistemas de Produção,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SALA DE AULA - 5o ANDAR -  Capacidade: 60 lugares -  SALA 504,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,Cynara EGOEP - 05/11/24,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Inferência,Cynara EGOEP - 05/11/24,Inferência,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Inferência,Cynara EGOEP - 05/11/24,Inferência,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Probabilidade e Estatística,Cynara EGOEP - 05/11/24,Probabilidade e Estatística,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Probabilidade e Estatística,Cynara EGOEP - 05/11/24,Probabilidade e Estatística,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,Cynara EGOEP - 05/11/24,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,,,,Sistemas de Produção - PPGEP,TCC1,,,,,,,,,,,,,,,,,,,,
14h00-14h50,,,,Sistemas de Produção - PPGEP,TCC1,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,,Seminários em EP ,Sistemas de Produção - PPGEP,,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,,Seminários em EP ,Sistemas de Produção - PPGEP,,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SALA DE AULA - 5o ANDAR - Capacidade: 40 lugares - SALA 505,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Gestao de custos,Projeto de instalações industriais,Empreendedorismo,Processo de desenvolvimento de produto,Processo de desenvolvimento de produto,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Gestao de custos,Projeto de instalações industriais,Empreendedorismo,Processo de desenvolvimento de produto,Processo de desenvolvimento de produto,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Gestao de custos,Projeto de instalações industriais,Sustentabilidade,,Processo de desenvolvimento de produto,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Gestao de custos,Projeto de instalações industriais,Sustentabilidade,,Processo de desenvolvimento de produto,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,Paleontologia,Processos de Fabricação 2,Maico  -  23/10/2024,Eficiência Energética,Materiais poliméricos,,,,,,,,,,,,,,,,,,,,
14h00-14h50,Paleontologia,Processos de Fabricação 2,Maico  -  23/10/2024,Eficiência Energética,Materiais poliméricos,,,,,,,,,,,,,,,,,,,,
15h00-16h00,Paleontologia,Processos de Fabricação 2, Maico  -  23/10/2024,Eficiência Energética,Materiais poliméricos,,,,,,,,,,,,,,,,,,,,
16h00-16h50,Paleontologia,Processos de Fabricação 2,Maico -    23/10/2024,Eficiência Energética,Materiais poliméricos,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SALA DE AULA - 5o ANDAR - Capacidade: 40 lugares - SALA 506,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Logística e gestão da cadeia de suprimentos,Pesquisa operacional 2,Logística e gestão da cadeia de suprimentos,,Segurança do Trabalho,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Logística e gestão da cadeia de suprimentos,Pesquisa operacional 2,Logística e gestão da cadeia de suprimentos,,Segurança do Trabalho,,,,,,,,,,,,,,,,,,,,
10h00-10h50,Automação e controle,Pesquisa operacional 2,Automação e controle,,Segurança do Trabalho,,,,,,,,,,,,,,,,,,,,
10h50-11h40,Automação e controle,Pesquisa operacional 2,Automação e controle,,Segurança do Trabalho,,,,,,,,,,,,,,,,,,,,
12h00-13h00,,,,,,,,,,,,,,,,,,,,,,,,,
13h10-14h00,Projetos de sistemas de transportes 2,Engenharia econômica (reoferta),Manufatura Aditiva (optativa),Processos de Fabricação 1,Logística e gestão da cadeia de suprimentos,,,,,,,,,,,,,,,,,,,,
14h00-14h50,Projetos de sistemas de transportes 2,Engenharia econômica (reoferta),Manufatura Aditiva (optativa),Processos de Fabricação 1,Logística e gestão da cadeia de suprimentos,,,,,,,,,,,,,,,,,,,,
15h00-16h00,,Engenharia econômica (reoferta),Industria 4.0 (optativa),Processos de Fabricação 1,Prom. da Ed. Ambiental e ed. em Sustentabilidade OPT,,,,,,,,,,,,,,,,,,,,
16h00-16h50,,Engenharia econômica (reoferta),Industria 4.0 (optativa),Processos de Fabricação 1,Prom. da Ed. Ambiental e ed. em Sustentabilidade OPT,,,,,,,,,,,,,,,,,,,,
16h50-17h40,,,,,,,,,,,,,,,,,,,,,,,,,
18h00-18h50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SALA DE AULA - 5o ANDAR - Capacidade: 40 lugares - SALA 507,,,,,,,,,,,,,,,,,,,,,,,,,
,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,,,,,,,,,,,,,,,,,,,
07h00-08h00,,,,,,,,,,,,,,,,,,,,,,,,,
08h00-08h50,Tecnologia ferroviária,Tecnologia aquaviária,,,Ciências dos materiais,,,,,,,,,,,,,,,,,,,,
08h50-09h40,Tecnologia ferroviária,Tecnologia aquaviária,,,Ciências dos materiais,,,,,,,,,,,,,,,,,,,,
10h00-10h50,,,Tópicos em geologia ambiental - optativa,,Ciências dos materiais,,,,,,,,,,,,,,,,,,,,
10h50-11h40,,,Tópicos em geologia ambiental - optativa,,Ciências dos materiais,,,,,,,,,,,,,,,,,,,,
12h00-13h00,Estágio Obrigatório,,,TCC2,TCC2,,,,,,,,,,,,,,,,,,,,
