HORARIO,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,SALA
07h00-08h00,,,,,,,303
08h00-08h50,INFERÊNCIA,,INFERÊNCIA,INTRO A COMPUTAÇAO - TA - P,INTRO A COMPUTAÇAO - TB - P,,303
08h50-09h40,INFERÊNCIA,,INFERÊNCIA,INTRO A COMPUTAÇAO - TA - P,INTRO A COMPUTAÇAO - TB - P,,303
10h00-10h50,,,,INTRO A COMPUTAÇAO - TB - P,,,303
10h50-11h40,,,,INTRO A COMPUTAÇAO - TB - P,,,303
12h00-13h00,,,,,,,303
13h10-14h00,INTRO A COMPUTAÇAO - TC -T,INTRO A COMPUTAÇAO - TA - P,INTRO A COMPUTAÇAO - TC -T,,,,303
14h00-14h50,INTRO A COMPUTAÇAO - TC -T,INTRO A COMPUTAÇAO - TA - P,INTRO A COMPUTAÇAO - TC -T,,,,303
15h00-16h00,INTRO A COMPUTAÇAO - TD - T,INTRO A COMPUTAÇAO - TB - P,INTRO A COMPUTAÇAO - TD - T,,,,303
16h00-16h50,INTRO A COMPUTAÇAO - TD - T,INTRO A COMPUTAÇAO - TB - P,INTRO A COMPUTAÇAO - TD - T,,,,303
16h50-17h40,,,,,,,303
18h00-18h50,,,,,,,303
07h00-08h00,,,,,,,304
08h00-08h50,,Fenômenos de Transportes - OBG,Fotogeologia e Sensoriamento remoto - Geologia,Métodos Estatísticos Aplicados à Geologia,Fenômenos de Transportes - OBG,,304
08h50-09h40,,Fenômenos de Transportes - OBG,Fotogeologia e Sensoriamento remoto - Geologia,Métodos Estatísticos Aplicados à Geologia,Fenômenos de Transportes - OBG,,304
10h00-10h50,,,Fotogeologia e Sensoriamento remoto - Geologia,Métodos Estatísticos Aplicados à Geologia,,,304
10h50-11h40,,,Fotogeologia e Sensoriamento remoto - Geologia,Métodos Estatísticos Aplicados à Geologia,,,304
12h00-13h00,,,,,,,304
13h10-14h00,Pesquisa Operacional 1 - OBG,Topografia e Geodésia - GEO,Geoprocessamento - OBG,,Hidráulica - OPT,,304
14h00-14h50,Pesquisa Operacional 1 - OBG,Topografia e Geodésia - GEO,Geoprocessamento - OBG,,Hidráulica - OPT,,304
15h00-16h00,Pesquisa Operacional 1 - OBG,Topografia e Geodésia  - GEO,Geoprocessamento - OBG,,Hidráulica - OPT,,304
16h00-16h50,Pesquisa Operacional 1 - OBG,Topografia e Geodésia  - GEO,Geoprocessamento - OBG,,Hidráulica - OPT,,304
16h50-17h40,,,,,,,304
18h00-18h50,,,,,,,304
07h00-08h00,,,,,,,403
08h00-08h50,Sist. de Informação - TA ,Simulação de Sistemas,Sist. de Informação - TA ,PPGEP - Fund. de Ciência de Dados,,,403
08h50-09h40,Sist. de Informação - TA,Simulação de Sistemas,Sist. de Informação - TA,PPGEP - Fund. de Ciência de Dados,,,403
10h00-10h50,Sist. de Informação - TB,Simulação de Sistemas,Sist. de Informação - TB,PPGEP - Fund. de Ciência de Dados,,,403
10h50-11h40,Sist. de Informação - TB,Simulação de Sistemas,Sist. de Informação - TB,PPGEP - Fund. de Ciência de Dados,,,403
12h00-13h00,,,,,,,403
13h10-14h00,,Pesquisa Operacional 1,PCPI,,,,403
14h00-14h50,,Pesquisa Operacional 1,PCPI,,,,403
15h00-16h00,,Pesquisa Operacional 1,PCPI,,,,403
16h00-16h50,,Pesquisa Operacional 1,PCPI,,,,403
16h50-17h40,,,,Planejamento e Controle da Produção 3,,,403
18h00-18h50,,,,Planejamento e Controle da Produção 3,,,403
07h00-08h00,,,,,,,109
08h00-08h50,DESENHO TÉCNICO - GEO - TA,DESENHO TECNICO - EP - TC,DESENHO TÉCNICO - GEO - TA,,,,109
08h50-09h40,DESENHO TÉCNICO - GEO - TA,DESENHO TECNICO - EP - TC,DESENHO TÉCNICO - GEO - TA,,,,109
10h00-10h50,DESENHO TÉCNICO - GEO - TB,DESENHO TECNICO - EP - TC,DESENHO TÉCNICO - GEO - TB,,,,109
10h50-11h40,DESENHO TÉCNICO - GEO - TB,DESENHO TECNICO - EP - TC,DESENHO TÉCNICO - GEO - TB,,,,109
12h00-13h00,,,,,,,109
13h10-14h00,,Projeto de Estradas - OBG,,DESENHO TECNICO - EP - TD,,,109
14h00-14h50,,Projeto de Estradas - OBG,,DESENHO TECNICO - EP - TD,,,109
15h00-16h00,,Projeto de Estradas - OBG,,DESENHO TECNICO - EP - TD,Planejamento de terminais de passageiros aeroportuários - NL,,109
16h00-16h50,,Projeto de Estradas - OBG,,DESENHO TECNICO - EP - TD,Planejamento de terminais de passageiros aeroportuários - NL,,109
16h50-17h40,,,,,,,109
18h00-18h50,,,,,,,109
