HORARIO,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,SALA
07h00-08h00,,,,,,,103
08h00-08h50,,,,,,,103
08h50-09h40,,,,,,,103
10h00-10h50,,,,,,,103
10h50-11h40,,,,,,,103
12h00-13h00,,,,,,,103
13h10-14h00,,,,,,,103
14h00-14h50,,,,,,,103
15h00-16h00,,,,,,,103
16h00-16h50,,,,,,,103
16h50-17h40,,,,,,,103
18h00-18h50,,,,,,,103
07h00-08h00,,,,,,,105
08h00-08h50,,,,,,,105
08h50-09h40,,,,,,,105
10h00-10h50,,,,,,,105
10h50-11h40,,,,,,,105
12h00-13h00,,,,,,,105
13h10-14h00,,,,,,,105
14h00-14h50,,,,,,,105
15h00-16h00,,,,,,,105
16h00-16h50,,,,,,,105
16h50-17h40,,,,,,,105
18h00-18h50,,,,,,,105
07h00-08h00,,,,,,,106
08h00-08h50,GEOLOGIA DOS COMBÚSTIVEIS FÓSSEIS,,,,,,106
08h50-09h40,GEOLOGIA DOS COMBÚSTIVEIS FÓSSEIS,,,,,,106
10h00-10h50,GEOLOGIA DOS COMBÚSTIVEIS FÓSSEIS,,,,,,106
10h50-11h40,GEOLOGIA DOS COMBÚSTIVEIS FÓSSEIS,,,,,,106
12h00-13h00,,,,,,,106
13h10-14h00,,,,,,,106
14h00-14h50,,,,,,,106
15h00-16h00,,,,,,,106
16h00-16h50,,,,,,,106
16h50-17h40,,,,,,,106
18h00-18h50,,,,,,,106
07h00-08h00,,,,,,,207
08h00-08h50,GEOLOGIA BÁSICA - TA,Geologia Ambiental ,GEOLOGIA BÁSICA - TA,,,,207
08h50-09h40,GEOLOGIA BÁSICA - TA,Geologia Ambiental ,GEOLOGIA BÁSICA - TA,,,,207
10h00-10h50,GEOLOGIA BÁSICA - TB,Geologia Ambiental ,GEOLOGIA BÁSICA - TB,,,,207
10h50-11h40,GEOLOGIA BÁSICA - TB,Geologia Ambiental ,GEOLOGIA BÁSICA - TB,,,,207
12h00-13h00,,,,,,,207
13h10-14h00,Instrumentação e Desenho Geológico,GEOLOGIA ESTRUTURAL,,GEOLOGIA ESTRUTURAL,Instrumentação e Desenho Geológico,,207
14h00-14h50,Instrumentação e Desenho Geológico,GEOLOGIA ESTRUTURAL,,GEOLOGIA ESTRUTURAL,Instrumentação e Desenho Geológico,,207
15h00-16h00,Instrumentação e Desenho Geológico,LAB. GEOLOGIA ESTRUTURAL,,LAB. GEOLOGIA ESTRUTURAL,Instrumentação e Desenho Geológico,,207
16h00-16h50,Instrumentação e Desenho Geológico,,,,Instrumentação e Desenho Geológico,,207
16h50-17h40,,,,,,,207
18h00-18h50,,,,,,,207
07h00-08h00,,,,,,,305
08h00-08h50,,,,,,,305
08h50-09h40,,,,,,,305
10h00-10h50,,,,,,,305
10h50-11h40,,,,,,,305
12h00-13h00,,,,,,,305
13h10-14h00,,,,,,,305
14h00-14h50,,,,,,,305
15h00-16h00,,,,,,,305
16h00-16h50,,,,,,,305
16h50-17h40,,,,,,,305
18h00-18h50,,,,,,,305
07h00-08h00,,,,,,,306
08h00-08h50,,,,,,,306
08h50-09h40,,,,,,,306
10h00-10h50,,,,,,,306
10h50-11h40,,,,,,,306
12h00-13h00,,,,,,,306
13h10-14h00,,,,,,,306
14h00-14h50,,,,,,,306
15h00-16h00,,,,,,,306
16h00-16h50,,,,,,,306
16h50-17h40,,,,,,,306
18h00-18h50,,,,,,,306
07h00-08h00,,,,,,,307
08h00-08h50,,Petr. e Petrografia de Rochas Sedimentares,Mineralogia 1,,Petr. e Petrografia de Rochas Igneas,,307
08h50-09h40,,Petr. e Petrografia de Rochas Sedimentares,Mineralogia 1,,Petr. e Petrografia de Rochas Igneas,,307
10h00-10h50,,Petr. e Petrografia de Rochas Sedimentares,,,Petr. e Petrografia de Rochas Igneas,,307
10h50-11h40,,Petr. e Petrografia de Rochas Sedimentares,,,Petr. e Petrografia de Rochas Igneas,,307
12h00-13h00,,,,,,,307
13h10-14h00,Petr. e Petrografia de Rochas Metamórficas,,Mineralogia 1,Petrologia Metamórfica,,,307
14h00-14h50,Petr. e Petrografia de Rochas Metamórficas,,Mineralogia 1,Petrologia Metamórfica,,,307
15h00-16h00,Petr. e Petrografia de Rochas Metamórficas,,Mineralogia 1,,,,307
16h00-16h50,Petr. e Petrografia de Rochas Metamórficas,,Mineralogia 1,,,,307
16h50-17h40,,,,,,,307
18h00-18h50,,,,,,,307
