HORARIO,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,SALA
07h00-08h00,,,,,,,206
08h00-08h50,,,,,,,206
08h50-09h40,,,,,,,206
10h00-10h50,,,,,,,206
10h50-11h40,,,,,,,206
12h00-13h00,,,,,,,206
13h10-14h00,,,,,,,206
14h00-14h50,,,,,,,206
15h00-16h00,,,,,,,206
16h00-16h50,,,,,,,206
16h50-17h40,,,,,,,206
18h00-18h50,,,,,,,206
07h00-08h00,,,,,,,404
08h00-08h50,,,,,,,404
08h50-09h40,,,,,,,404
10h00-10h50,,,,,,,404
10h50-11h40,,,,,,,404
12h00-13h00,,,,,,,404
13h10-14h00,,,,,,,404
14h00-14h50,,,,,,,404
15h00-16h00,,,,,,,404
16h00-16h50,,,,,,,404
16h50-17h40,,,,,,,404
18h00-18h50,,,,,,,404
07h00-08h00,,,,,,,503A
08h00-08h50,PM Cerâmicos (André),,PM Cerâmicos (André),REUNIAO COLEGIADO PROD,,,503A
08h50-09h40,PM Cerâmicos (André),,PM Cerâmicos (André),REUNIAO COLEGIADO PROD,,,503A
10h00-10h50,Optativa Logística,Gestão da Qualidade,Gestão de Projetos,REUNIAO COLEGIADO PROD,,,503A
10h50-11h40,Optativa Logística,Gestão da Qualidade,Gestão de Projetos,,,,503A
12h00-13h00,,,,,,,503A
13h10-14h00,,Optativa TA em Sustentabilidade,PCP1,PROJETO DE TERMINAIS DE PASSAGEIROS,,,503A
14h00-14h50,,Optativa TA em Sustentabilidade,PCP1,PROJETO DE TERMINAIS DE PASSAGEIROS,,,503A
15h00-16h00,,,PCP1,PROJETO DE TERMINAIS DE PASSAGEIROS,,,503A
16h00-16h50,,,PCP1,PROJETO DE TERMINAIS DE PASSAGEIROS,,,503A
16h50-17h40,,,,Planejamento e Controle da Produção 3,,,503A
18h00-18h50,,,,Planejamento e Controle da Produção 3,,,503A
