HORARIO,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,SALA
07h00-08h00,,,,,,,T02
08h00-08h50,,,,,,,T02
08h50-09h40,,,,,,,T02
10h00-10h50,,,,,,,T02
10h50-11h40,,,,,,,T02
12h00-13h00,,,,,,,T02
13h10-14h00,,,,,,,T02
14h00-14h50,,,,,,,T02
15h00-16h00,,,,,,,T02
16h00-16h50,,,,,,,T02
16h50-17h40,,,,,,,T02
18h00-18h50,,,,,,,T02
07h00-08h00,,,,,,,203
08h00-08h50,,,,,,,203
08h50-09h40,,,,,,,203
10h00-10h50,,,,,,,203
10h50-11h40,,,,,,,203
12h00-13h00,,,,,,,203
13h10-14h00,,,,,,,203
14h00-14h50,,,,,,,203
15h00-16h00,,,,,,,203
16h00-16h50,,,,,,,203
16h50-17h40,,,,,,,203
18h00-18h50,,,,,,,203
07h00-08h00,,,,,,,204
08h00-08h50,Técnicas de Modelagem em Transportes - OBG,,,,,,204
08h50-09h40,Técnicas de Modelagem em Transportes - OBG,,,,,,204
10h00-10h50,Técnicas de Modelagem em Transportes - OBG,,,,,,204
10h50-11h40,Técnicas de Modelagem em Transportes - OBG,,,,,,204
12h00-13h00,,,,,,,204
13h10-14h00,Projeto de Sistemas de Transportes 1 - OBG,,,Segurança Viária - OPT,,,204
14h00-14h50,Projeto de Sistemas de Transportes 1 - OBG,,,Segurança Viária - OPT,,,204
15h00-16h00,,,,Segurança Viária - OPT,,,204
16h00-16h50,,,,Segurança Viária - OPT,,,204
16h50-17h40,,,,,,,204
18h00-18h50,,,,,,,204
07h00-08h00,,,,,,,205
08h00-08h50,,,,,,,205
08h50-09h40,,,,,,,205
10h00-10h50,,,,,,,205
10h50-11h40,,,,,,,205
12h00-13h00,,,,,,,205
13h10-14h00,,,,,,,205
14h00-14h50,,,,,,,205
15h00-16h00,,,,,,,205
16h00-16h50,,,,,,,205
16h50-17h40,,,,,,,205
18h00-18h50,,,,,,,205
