HORARIO,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,SALA
07h00-08h00,,,,,,,108
08h00-08h50,GEOMETRIA ANALITICA -T,QUIMICA GERAL B - T,GEOMETRIA ANALITICA -T,,QUIMICA GERAL B - T,,108
08h50-09h40,GEOMETRIA ANALITICA -T,QUIMICA GERAL B - T,GEOMETRIA ANALITICA -T,,QUIMICA GERAL B - T,,108
10h00-10h50,GEOMETRIA ANALITICA - P,QUIMICA GERAL B - G,GEOMETRIA ANALITICA - P,,QUIMICA GERAL B - G,,108
10h50-11h40,GEOMETRIA ANALITICA - P,QUIMICA GERAL B - G,GEOMETRIA ANALITICA - P,,QUIMICA GERAL B - G,,108
12h00-13h00,,,,,,,108
13h10-14h00,CÁLCULO 1A-TA, MET. DA PESQUISA GEOCIENTÍFICA,CÁLCULO 1A-TA,,CÁLCULO 1A-TA,,108
14h00-14h50,CÁLCULO 1A-TA, MET. DA PESQUISA GEOCIENTÍFICA,CÁLCULO 1A-TA,,CÁLCULO 1A-TA,,108
15h00-16h00,CÁLCULO 1A-TB, GEOLOGIA E O COTIDIANO ,CÁLCULO 1A-TB,,CÁLCULO 1A-TB,,108
16h00-16h50,CÁLCULO 1A-TB, GEOLOGIA E O COTIDIANO ,CÁLCULO 1A-TB,,CÁLCULO 1A-TB,,108
16h50-17h40,,,,,,,108
18h00-18h50,,,,,,,108
07h00-08h00,,,,,,,208
08h00-08h50,PROBABILIDADE E ESTATISTICA - PT,SAÚDE E SEGURANÇA DO TRABALHO - TB,PROBABILIDADE E ESTATISTICA - PT,,Metrologia,,208
08h50-09h40,PROBABILIDADE E ESTATISTICA - PT,SAÚDE E SEGURANÇA DO TRABALHO - TB,PROBABILIDADE E ESTATISTICA - PT,,Metrologia,,208
10h00-10h50,PROBABILIDADE E ESTATISTICA - PG,ÉTICA E SOCIOLOGIA - TA - PTG,PROBABILIDADE E ESTATISTICA - PG,,Mecânica Aplicada,,208
10h50-11h40,PROBABILIDADE E ESTATISTICA - PG,ÉTICA E SOCIOLOGIA - TA - PTG,PROBABILIDADE E ESTATISTICA - PG,,Mecânica Aplicada,,208
12h00-13h00,,,,,,,208
13h10-14h00,CÁLCULO 2A - reoferta,ÉTICA E SOCIOLOGIA - TA - PTG,CÁLCULO 2A - reoferta,,CÁLCULO 2A - reoferta,,208
14h00-14h50,CÁLCULO 2A - reoferta,ÉTICA E SOCIOLOGIA - TA - PTG,CÁLCULO 2A - reoferta,,CÁLCULO 2A - reoferta,,208
15h00-16h00,CÁLCULO 1A - TC ,,CÁLCULO 1A - TC ,,CÁLCULO 1A - TC ,,208
16h00-16h50,CÁLCULO 1A - TC ,,CÁLCULO 1A - TC ,,CÁLCULO 1A - TC ,,208
16h50-17h40,,,,,,,208
18h00-18h50,,,,,,,208
07h00-08h00,,,,,,,308
08h00-08h50,CIENCIA DOS MATERIAIS 2,,CIENCIA DOS MATERIAIS 2,,,,308
08h50-09h40,CIENCIA DOS MATERIAIS 2,,CIENCIA DOS MATERIAIS 2,,,,308
10h00-10h50,CÁLCULO 3A,Metodologia Científica - OBG,CÁLCULO 3A,,Introdução a Eng de Produção,,308
10h50-11h40,CÁLCULO 3A,Metodologia Científica - OBG,CÁLCULO 3A,,Introdução a Eng de Produção,,308
12h00-13h00,,,,,,,308
13h10-14h00,CÁLCULO 3B,"Geografia, Transporte e Sociedade - OBG",CÁLCULO 3B,,Introdução a Eng de Produção,,308
14h00-14h50,CÁLCULO 3B,"Geografia, Transporte e Sociedade - OBG",CÁLCULO 3B,,Introdução a Eng de Produção,,308
15h00-16h00,,"Geografia, Transporte e Sociedade - OBG",Introdução à Economia,,Introdução à Economia,,308
16h00-16h50,,"Geografia, Transporte e Sociedade - OBG",Introdução à Economia,,Introdução à Economia,,308
16h50-17h40,,,,,,,308
18h00-18h50,,,,,,,308
07h00-08h00,,,,,,,504
08h00-08h50,FÍSICA I - reoferta,FÍSICA I - reoferta,FÍSICA I - reoferta,,FÍSICA I - reoferta,,504
08h50-09h40,FÍSICA I - reoferta,FÍSICA I - reoferta,FÍSICA I - reoferta,,FÍSICA I - reoferta,,504
10h00-10h50,FÍSICA III - T,FÍSICA II - PG,FÍSICA III - T,,FÍSICA II - PG,,504
10h50-11h40,FÍSICA III - T,FÍSICA II - PG,FÍSICA III - T,,FÍSICA II - PG,,504
12h00-13h00,,,,,,,504
13h10-14h00,,Organização do Trabalho ,Empreendedorismo,,ÉTICA E SOCIOLOGIA - TA - PM,,504
14h00-14h50,,Organização do Trabalho ,Empreendedorismo,,ÉTICA E SOCIOLOGIA - TA - PM,,504
15h00-16h00,,Organização do Trabalho ,,,ÉTICA E SOCIOLOGIA - TA - T,,504
16h00-16h50,,Organização do Trabalho ,,,ÉTICA E SOCIOLOGIA - TA - T,,504
16h50-17h40,,Trabalho de Conclusão de Curso 1,,,,,504
18h00-18h50,,Trabalho de Conclusão de Curso 1,,,,,504
07h00-08h00,,,,,,,505
08h00-08h50,Gestão da Qualidade,FT 1 - EP,Gestão da Qualidade,,Laboratório de Tecnologia Aeroviária - OPT,,505
08h50-09h40,Gestão da Qualidade,FT 1 - EP,Gestão da Qualidade,,Laboratório de Tecnologia Aeroviária - OPT,,505
10h00-10h50,Plan. integrado de sist. de transportes - OBG,FT 1 - EP,Plan. integrado de sist. de transportes - OBG,,Tecnologia Aeroviária  - OBG,,505
10h50-11h40,Plan. integrado de sist. de transportes - OBG,FT 1 - EP,Plan. integrado de sist. de transportes - OBG,,Tecnologia Aeroviária - OBG,,505
12h00-13h00,,,,,,,505
13h10-14h00,Energia e Eletricidade ,Pesquisa Operacional 1 - P,Transporte e Planejamento Urbano e Regional - OBG,Processos de Fabricação 1,RESISTÊNCIA DOS MATERIAIS - PT,,505
14h00-14h50,Energia e Eletricidade ,Pesquisa Operacional 1 - P,Transporte e Planejamento Urbano e Regional - OBG,Processos de Fabricação 1,RESISTÊNCIA DOS MATERIAIS - PT,,505
15h00-16h00,Energia e Eletricidade ,Pesquisa Operacional 1 - P,,Processos de Fabricação 1,RESISTÊNCIA DOS MATERIAIS - PT,,505
16h00-16h50,Energia e Eletricidade ,Pesquisa Operacional 1 - P,,Processos de Fabricação 1,RESISTÊNCIA DOS MATERIAIS - PT,,505
16h50-17h40,,,,,,,505
18h00-18h50,,,,,,,505
07h00-08h00,,,,,,,506
08h00-08h50,,Fundamentos de Administração,Gestao de Projetos de Sistemas de Transportes - OBG,,Ergonomia e Engenharia no Trabalho,,506
08h50-09h40,,Fundamentos de Administração,Gestao de Projetos de Sistemas de Transportes - OBG,,Ergonomia e Engenharia no Trabalho,,506
10h00-10h50,,Gestão da Qualidade,Transporte e Meio Ambiente 1 - OBG,,Ergonomia e Engenharia no Trabalho,,506
10h50-11h40,,Gestão da Qualidade,Transporte e Meio Ambiente 1 - OBG,,Ergonomia e Engenharia no Trabalho,,506
12h00-13h00,,,,,,,506
13h10-14h00,Introdução à Engenharia da Materiais,Aspectos Econômicos do Transporte - OBG,Ciências do Ambiente,Transporte e Desenvolvimento - OPT,Operação de Sistemas de transportes 1  - OBG,,506
14h00-14h50,Introdução à Engenharia da Materiais,Aspectos Econômicos do Transporte - OBG,Ciências do Ambiente,Transporte e Desenvolvimento - OPT,Operação de Sistemas de transportes 1  - OBG,,506
15h00-16h00,,Aspectos Econômicos do Transporte - OBG,,Transporte e Desenvolvimento - OPT,Operação de Sistemas de transportes 1 - OBG,,506
16h00-16h50,,Aspectos Econômicos do Transporte - OBG,,Transporte e Desenvolvimento - OPT,Operação de Sistemas de transportes 1  - OBG,,506
16h50-17h40,,,,,,,506
18h00-18h50,,,,,,,506
07h00-08h00,,,,,,,507
08h00-08h50,INFERÊNCIA,Projeto de Ferrovias - OBG,INFERÊNCIA,Engenharia Econômica,P. M. Metálicos,,507
08h50-09h40,INFERÊNCIA,Projeto de Ferrovias - OBG,INFERÊNCIA,Engenharia Econômica,P. M. Metálicos,,507
10h00-10h50,P. M. Poliméricos,Projeto de Ferrovias - OBG,P. M. Poliméricos,Engenharia Econômica,P. M. Metálicos,,507
10h50-11h40,P. M. Poliméricos,Projeto de Ferrovias - OBG,P. M. Poliméricos,Engenharia Econômica,P. M. Metálicos,,507
12h00-13h00,,,,,,,507
13h10-14h00,Termodinâmica dos Materiais,Regulação de Servicos de Transportes - OBG,Termodinâmica dos Materiais,TA em Engenharia Econômica,Transformação de Fase em Materiais,,507
14h00-14h50,Termodinâmica dos Materiais,Regulação de Servicos de Transportes - OBG,Termodinâmica dos Materiais,TA em Engenharia Econômica,Transformação de Fase em Materiais,,507
15h00-16h00,,Regulação de Servicos de Transportes - OBG,,,Transformação de Fase em Materiais,,507
16h00-16h50,,REgulação de Servicos de Transportes - OBG,,,Transformação de Fase em Materiais,,507
16h50-17h40,,,,,,,507
18h00-18h50,,,,,,,507
07h00-08h00,,,,,,,508
08h00-08h50,Laboratório de Tecnologia Rodoviária - OPT,Pavimentação - OBG,Tópicos especiais de geologia estrutural ,,,,508
08h50-09h40,Laboratório de Tecnologia Rodoviária - OPT,Pavimentação - OBG,Tópicos especiais de geologia estrutural ,,,,508
10h00-10h50,Tecnologia Rodoviária - OBG,Pavimentação - OBG,Tópicos especiais de geologia estrutural ,,Fundamentos de Contabilidade,,508
10h50-11h40,Tecnologia Rodoviária - OBG,Pavimentação - OBG,Tópicos especiais de geologia estrutural ,,Fundamentos de Contabilidade,,508
12h00-13h00,,,,,,,508
13h10-14h00,Transporte Não Motorizado - OBG,Engenharia de Tráfego 2 - OBG,GEOQUÍMICA,Controle Estatístico de Processo,GEOLOGIA HISTÓRICA,,508
14h00-14h50,Transporte Não Motorizado - OBG,Engenharia de Tráfego 2 - OBG,GEOQUÍMICA,Controle Estatístico de Processo,GEOLOGIA HISTÓRICA,,508
15h00-16h00,,Engenharia de Tráfego 2 - OBG,GEOQUÍMICA,Controle Estatístico de Processo,GEOLOGIA HISTÓRICA,,508
16h00-16h50,,Engenharia de Tráfego 2 - OBG,GEOQUÍMICA,Controle Estatístico de Processo,GEOLOGIA HISTÓRICA,,508
16h50-17h40,,,,,,,508
18h00-18h50,,,,,,,508
