HORARIO,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,SÁBADO,SALA
07h00-08h00,,,,,,,
08h00-08h50,Geometria Analítica,Fenômenos de Transportes 1 (reoferta),Geometria Analítica,,Análise de investimento em transportes,,
08h50-09h40,Geometria Analítica,Fenômenos de Transportes 1 (reoferta),Geometria Analítica,,Análise de investimento em transportes,,
10h00-10h50,Álgebra Linear,Fenômenos de Transportes 1 (reoferta),Álgebra Linear,,Análise de investimento em transportes,,
10h50-11h40,Álgebra Linear,Fenômenos de Transportes 1 (reoferta),Álgebra Linear,,Análise de investimento em transportes,,
12h00-13h00,,,,,,,
13h10-14h00,Cálculo 2A - TA,Física I,Cálculo 2A - TA,,Cálculo 2A - TA,,
14h00-14h50,Cálculo 2A - TA,Física I,Cálculo 2A - TA,,Cálculo 2A - TA,,
15h00-16h00,Cálculo 2A - TB,Física I,Cálculo 2A - TB,,Cálculo 2A - TB,,
16h00-16h50,Cálculo 2A - TB,Física I,Cálculo 2A - TB,,Cálculo 2A - TB,,
16h50-17h40,,,,,,,
18h00-18h50,,,,,,,
07h00-08h00,,,,,,,208
08h00-08h50,EDO,Hidrogeologia,EDO,,Gestão Estratégica,,208
08h50-09h40,EDO,Hidrogeologia,EDO,,Gestão Estratégica,,208
10h00-10h50,Cálculo Numérico,Hidrogeologia,Cálculo Numérico,,Gestão Estratégica,,208
10h50-11h40,Cálculo Numérico,Hidrogeologia,Cálculo Numérico,,Gestão Estratégica,,208
12h00-13h00,,,,,,,208
13h10-14h00,Cálculo 1A - TA,,Cálculo 1A - TA,Teoria de Análise de Sistemas de Transportes,Cálculo 1A - TA,,208
14h00-14h50,Cálculo 1A - TA,,Cálculo 1A - TA,Teoria de Análise de Sistemas de Transportes,Cálculo 1A - TA,,208
15h00-16h00,Cálculo 1A - TB,,Cálculo 1A - TB,Transporte e Sociedade,Cálculo 1A - TB,,208
16h00-16h50,Cálculo 1A - TB,,Cálculo 1A - TB,Transporte e Sociedade,Cálculo 1A - TB,,208
16h50-17h40,,,,,,,208
18h00-18h50,,,,,,,208
07h00-08h00,,,,,,,308
08h00-08h50,Materiais Metálicos,Economia Industrial ,Materiais Metálicos,Teoria das Organizações,Geologia do Brasil,,308
08h50-09h40,Materiais Metálicos,Economia Industrial ,Materiais Metálicos,Teoria das Organizações,Geologia do Brasil,,308
10h00-10h50,Materiais Cerâmicos,Economia Industrial ,Materiais Cerâmicos,Teoria das Organizações,Geologia do Brasil,,308
10h50-11h40,Materiais Cerâmicos,Economia Industrial ,Materiais Cerâmicos,Teoria das Organizações,Geologia do Brasil,,308
12h00-13h00,,,,,,,308
13h10-14h00,Ciência dos Materiais 1,Fenômenos de Transportes 2,Ciência dos Materiais 1,Sistemas de Produção,Mecânica Aplicada,,308
14h00-14h50,Ciência dos Materiais 1,Fenômenos de Transportes 2,Ciência dos Materiais 1,Sistemas de Produção,Mecânica Aplicada,,308
15h00-16h00,,Fenômenos de Transportes 2,Teoria e Técnica de Plan. Int. em Transporte,Sistemas de Produção,,,308
16h00-16h50,,Fenômenos de Transportes 2,Teoria e Técnica de Plan. Int. em Transporte,Sistemas de Produção,,,308
16h50-17h40,,,,,,,308
18h00-18h50,,,,,,,308
07h00-08h00,,Cynara EGOEP - 05/11/24,,,,,504
08h00-08h50,Inferência,Cynara EGOEP - 05/11/24,Inferência,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,504
08h50-09h40,Inferência,Cynara EGOEP - 05/11/24,Inferência,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,504
10h00-10h50,Probabilidade e Estatística,Cynara EGOEP - 05/11/24,Probabilidade e Estatística,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,504
10h50-11h40,Probabilidade e Estatística,Cynara EGOEP - 05/11/24,Probabilidade e Estatística,Metodologia de Pesquisa - PPGEP,Resistência dos Materiais,,504
12h00-13h00,,Cynara EGOEP - 05/11/24,,,,,504
13h10-14h00,,,,Sistemas de Produção - PPGEP,TCC1,,504
14h00-14h50,,,,Sistemas de Produção - PPGEP,TCC1,,504
15h00-16h00,,,Seminários em EP ,Sistemas de Produção - PPGEP,,,504
16h00-16h50,,,Seminários em EP ,Sistemas de Produção - PPGEP,,,504
16h50-17h40,,,,,,,504
18h00-18h50,,,,,,,504
07h00-08h00,,,,,,,505
08h00-08h50,Gestao de custos,Projeto de instalações industriais,Empreendedorismo,Processo de desenvolvimento de produto,Processo de desenvolvimento de produto,,505
08h50-09h40,Gestao de custos,Projeto de instalações industriais,Empreendedorismo,Processo de desenvolvimento de produto,Processo de desenvolvimento de produto,,505
10h00-10h50,Gestao de custos,Projeto de instalações industriais,Sustentabilidade,,Processo de desenvolvimento de produto,,505
10h50-11h40,Gestao de custos,Projeto de instalações industriais,Sustentabilidade,,Processo de desenvolvimento de produto,,505
12h00-13h00,,,,,,,505
13h10-14h00,Paleontologia,Processos de Fabricação 2,Maico  -  23/10/2024,Eficiência Energética,Materiais poliméricos,,505
14h00-14h50,Paleontologia,Processos de Fabricação 2,Maico  -  23/10/2024,Eficiência Energética,Materiais poliméricos,,505
15h00-16h00,Paleontologia,Processos de Fabricação 2, Maico  -  23/10/2024,Eficiência Energética,Materiais poliméricos,,505
16h00-16h50,Paleontologia,Processos de Fabricação 2,Maico -    23/10/2024,Eficiência Energética,Materiais poliméricos,,505
16h50-17h40,,,,,,,505
18h00-18h50,,,,,,,505
07h00-08h00,,,,,,,506
08h00-08h50,Logística e gestão da cadeia de suprimentos,Pesquisa operacional 2,Logística e gestão da cadeia de suprimentos,,Segurança do Trabalho,,506
08h50-09h40,Logística e gestão da cadeia de suprimentos,Pesquisa operacional 2,Logística e gestão da cadeia de suprimentos,,Segurança do Trabalho,,506
10h00-10h50,Automação e controle,Pesquisa operacional 2,Automação e controle,,Segurança do Trabalho,,506
10h50-11h40,Automação e controle,Pesquisa operacional 2,Automação e controle,,Segurança do Trabalho,,506
12h00-13h00,,,,,,,506
13h10-14h00,Projetos de sistemas de transportes 2,Engenharia econômica (reoferta),Manufatura Aditiva (optativa),Processos de Fabricação 1,Logística e gestão da cadeia de suprimentos,,506
14h00-14h50,Projetos de sistemas de transportes 2,Engenharia econômica (reoferta),Manufatura Aditiva (optativa),Processos de Fabricação 1,Logística e gestão da cadeia de suprimentos,,506
15h00-16h00,,Engenharia econômica (reoferta),Industria 4.0 (optativa),Processos de Fabricação 1,Prom. da Ed. Ambiental e ed. em Sustentabilidade OPT,,506
16h00-16h50,,Engenharia econômica (reoferta),Industria 4.0 (optativa),Processos de Fabricação 1,Prom. da Ed. Ambiental e ed. em Sustentabilidade OPT,,506
16h50-17h40,,,,,,,506
18h00-18h50,,,,,,,506
07h00-08h00,,,,,,,507
08h00-08h50,Tecnologia ferroviária,Tecnologia aquaviária,,,Ciências dos materiais,,507
08h50-09h40,Tecnologia ferroviária,Tecnologia aquaviária,,,Ciências dos materiais,,507
10h00-10h50,,,Tópicos em geologia ambiental - optativa,,Ciências dos materiais,,507
10h50-11h40,,,Tópicos em geologia ambiental - optativa,,Ciências dos materiais,,507
12h00-13h00,Estágio Obrigatório,,,TCC2,TCC2,,507
13h10-14h00,Logística e cadeia de suprimentos,Ap. de provas - João Paulo 03/12,Logística e cadeia de suprimentos,Engenharia de Tráfego 1,Metodologia Científica e Redação Técnica - TA,,507
14h00-14h50,Logística e cadeia de suprimentos,Ap. de provas - João Paulo 03/12,Logística e cadeia de suprimentos,Engenharia de Tráfego 1,Metodologia Científica e Redação Técnica - TA,,507
15h00-16h00,Aspectos organizacionais e jurídicos dos transp.,Ap. de provas - João Paulo 03/12,Aspectos organizacionais e jurídicos dos transp.,Engenharia de Tráfego 1,Metodologia Científica e Redação Técnica - TB,,507
16h00-16h50,Aspectos organizacionais e jurídicos dos transp.,Ap. de provas - João Paulo 03/12,Aspectos organizacionais e jurídicos dos transp.,Engenharia de Tráfego 1,Metodologia Científica e Redação Técnica - TB,,507
16h50-17h40,,Ap. de provas - João Paulo 03/12,,,,,507
18h00-18h50,,,,,,,507
07h00-08h00,,,,,,,508
08h00-08h50,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Avaliação socioec. e amb. de proj. sist. transp.,,Pedologia,,508
08h50-09h40,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Avaliação socioec. e amb. de proj. sist. transp.,,Pedologia,,508
10h00-10h50,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Gestão de projetos - Reoferta,,Pedologia,,508
10h50-11h40,Geotecnia 2,Divulgação e comun. em Eng Transp - NL,Gestão de projetos - Reoferta,,Pedologia,,508
12h00-13h00,,,,,,,508
13h10-14h00,Geotecnia,,Geotecnia,Técnicas analíticas em geociências,Classificação e estruturas superficiais,,508
14h00-14h50,Geotecnia,,Geotecnia,Técnicas analíticas em geociências,Classificação e estruturas superficiais,,508
15h00-16h00,Geotecnia,,Geotecnia,,,,508
16h00-16h50,Geotecnia,,Geotecnia,,,,508
16h50-17h40,,,,,,,508
18h00-18h50,,,,,,,508
